Name,Pts,Army,Race,Type,Unit,NumUnits,Class,Person,Size,Height,Life,MVE,RGE,ATK,DEF,SP1,SP2,SP3
Mika Connour,110,Vydar,Human,2,Hero,1,Shadow Assasin,Tricky,Medium,5,5,6,1,4,4,"Shadow Ambush: If Mika Connour starts her turn unengaged and on a shadow space, add 3 dice to her attack this turn.","Shadow Dance: If Mika Connour starts her turn on a shadow space, instead of moving normally, you may place her on any other shadow space within 8 spaces of her current location. If Mika Connour is engaged when she starts her Shadow Dance, she will take any leaving engagement attacks.","Blend Into Shadow: Mika Connour starts each game with up to 2 shadow tiles on her Army Card. If Mika Connour ends her turn on an empty land space, you may place a shadow tile from her Army Card onto the space she occupies if the shadow tile fits normally onto that space."
Mimring,150,Utgar,Dragon,2,Hero,1,Beast,Ferocious,Huge,9,5,6,1,4,3,FIRE LINE SPECIAL ATTACK - Range Special.  Attack 4.  Choose 8 spaces in a straight line from Mimring.  All figures on those spaces who are in line of sight are affected by Mimring's Fire Line Special Attack.  Roll 4 attack dice once for all affected figures.  Affected figures roll defense dice separately.  ,"FLYING - When counting spaces for Mimring's movement, ignore elevations.  Mimring may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.  When Mimring starts to fly, if he is engaged he will take any leaving engagement attacks.",
Mind Flayer Mastermind,100,Utgar,Mind Flayer,1,Hero,1,Psychic,Terrifying,Medium,5,4,5,1,4,4,"Psionic Blast Special Attack: Range 3. Attack 3. This Mind Flayer Mastermind does not need clear line of sight to attack with Psionic Blast Special Attack. If a figure receives 1 or more wounds from Psionic Blast Special Attack, remove one unrevealed order marker at random from that figure's Army Card (or cards if your opponent has more than one Common card for the figure).","Enslave 17: When revealing an order marker on this Mind Flayer Mastermind, after taking this Mind Flayer Mastermind's turn, you may choose any Unique Hero figure within 4 clear sight spaces of this Mind Flayer Mastermind. Roll the 20-sided die. If you roll a 17 or higher, take temporary control of the chosen Hero and immediately take a turn with that Hero. At the end of that turn, control of the chosen Hero returns to its previous owner. All order markers that were on the figure's Army Card will stay on the Army Card. Enslave does not affect Mind Flayers. ",
Minions of Utgar,110,Utgar,Kyrie,0,Squad,3,Minion,Relentless,Medium,6,1,4,1,2,6,"UTGAR'S ORDERS - Instead of taking a turn with Minions of Utgar, you may take a turn with any Kyrie Warrior who follows Utgar.  ",DEADLY STRIKE - When attacking with Minions of Utgar all skulls rolled count for one additional hit.  ,"FLYING - When counting spaces for a Minion of Utgar movement, ignore elevations.  A Minion of Utgar may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.  When a Minion of Utgar starts to fly if he is engaged he takes leaving engagement attacks."
Mogrimm Forgehammer,120,Aquilla,Dwarf,2,Hero,1,Warlord,Inspiring,Medium,4,6,5,1,4,4,"Combat Leader: If at least one order marker is on Mogrimm Forgehammer, you may add 3 to your initiative roll.","Commander's Strike: After moving and before attacking with Mogrimm Forgehammer, you may choose any opponent's figure within 5 clear site spaces that is engaged with any other figure you control. Roll the 20-sided die. If you roll a 15 or higher, the chosen figure receives 1 wound.
Tough: When rolling defense dice against a normal attack, Mogrimm Forgehammer always adds one automatic shield to whatever is rolled.",
Mohican River Tribe,70,Aquilla,Human,0,Squad,3,Scout,Fearsome,Medium,5,1,5,6,2,1,"Battle Fury: If a Mohican River Tribesman is engaged, add 1 to his attack dice and 2 to his defense dice.","War Cry: After taking a turn with the Mohican River Tribe, if at least two Mohican River Tribesmen you control are engaged, you may immediately take a turn with one Unique Tribesman Hero you control.","Concealment 19: If a Mohican River Tribesman you control is targeted and receives one or more wounds from an attacking figure who is not adjacent, you must roll the 20-sided die. Count the minimum number of spaces between the attacker and the Mohican River Tribesman. Add this number to your die roll. If you roll a 19 or higher, ignore any wounds the Mohican River Tribesman just received."
Moltenclaw,170,Utgar,Dragon,2,Hero,1,Prince,Fearless,Huge,8,6,5,1,5,3,Burning Breath Special Attack: Range 4 + Special. Attack 4. Choose a figure to attack. You may also choose 4 spaces in a straight line from the targeted figure. All figures on those spaces that are within line of sight of Moltenclaw are affected by Burning Breath Special Attack. Roll attack dice once for all affected figures. Each figure rolls defense dice separately. Moltenclaw is not affected by Burning Breath Special Attack.,"Lava Resistant: Moltenclaw never rolls for molten lava damage or lava field damage, and he does not have to stop in molten lava spaces.","Flying: When counting spaces for Moltenclaw's movement, ignore elevations. Moltenclaw may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Moltenclaw starts to fly, if he is engaged he will take any leaving engagement attacks."
Moriko,110,Ullar,Human,2,Hero,1,Ninja,Disciplined,Medium,4,4,6,1,4,4,Phantom Walk: Moriko can move through all figures and is never attacked when leaving an engagement.,"Saber Storm Special Attack: Range 1. Attack 1, 2, or 3. Moriko starts each turn with 6 attack dice. Choose any adjacent figure and attack by rolling 1, 2 or 3 attack dice. Moriko may keep making special attacks with 1, 2 or 3 attack dice until she has rolled all 6 attack dice. Moriko may target the same or different figures with each attack.",
Morsbane,100,Ullar,Elf,2,Hero,1,Wizard,Tricky,Medium,5,6,5,1,3,2,"Rod of Negation - Start the game with 3 brown Negation Markers on this card. At the end of the turn, if you have at least 1 Negation Marker on this card, you may choose any opponent's unique figure within 6 clear sight spaces of Morsbane. Roll the 20-sided die. If you roll a 1-15, nothing happens. If you roll a 16-19, place a Negation Marker on the chosen figure's Army Card. All of that figure's special powers are negated for the entire game. If you roll a 20, destroy the chosen figure.",,
Nakita Agents,120,Vydar,Human,2,Squad,3,Agent,Tricky,Medium,4,1,5,6,3,3,"Smoke Powder 13: When any Nikita Agent you control, or any figure you control that is adjacent to any Nikita agent you control, is targeted for a normal attack from a non‑adjacent opponent, you may roll the 20‑sided die. If you roll a 13 or higher, all Nikita Agents you control and all figures you control that are adjacent to those agents, no longer have any visible hit zones for the duration of the targeting figure's turn. ","Engagement Strike 15: If an opponent's small or medium figure moves adjacent to a Nikita Agent, roll the 20‑sided die. If you roll a 15 or higher, the opponent's figure receives a wound. Figures may be targeted only as they move into engagement with a Nikita Agent. Gorillinator Movement Bonding: Before taking a turn with Nikita Agents, you may move 3 Gorillinators you control up to 7 spaces.",
Ne-Gok-Sa,90,Utgar,Marro,2,Hero,1,Warlord,Tricky,Medium,5,5,5,1,3,6,"MIND SHACKLE 20 - After moving and before attacking, you may choose any unique figure adjacent to Ne-Gok-Sa.  Roll the 20-sided die.  If you roll a 20, take control of the chosen figure and that figure's Army Card.  You now control that Army Card and all figures on it.  Remove any Order Markers on this card.  If Ne-Gok-Sa is destroyed, you retain control of any previously Mind-Shackled Army Cards.",,
Nerak the Glacian Swog Rider,50,Utgar,Orc,2,Hero,1,Champion,Wild,Large,6,3,8,1,3,3,DISENGAGE - Nerak is never attacked when leaving an engagement.  ,ORC DEFENSE AURA 1 - All orc figures you control within 4 clear sight spaces of Nerak add 1 to their defense dice.  Nerak''s Defensive Aura does not affect Nerak.  Snow Strength - Add 1 to Nerak's attack and defense while on a snow space.,
Nilfheim,185,Jandar,Dragon,2,Hero,1,King,Ferocious,Huge,12,6,6,1,6,4,"Ice Shard Breath Special Attack - Range 5. Attack 4. When Nilfheim attacks with his Ice Shard Breath Special Attack, he may attack 2 additional times. He cannot attack the same figure more than once. ","Flying - When counting spaces for Nilfheim's moveoment, ignore elevations.  Nilfheim may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Nilfheim starts to fly, if he is engaged he will take any leaving engagement attacks. ",
Ninjas of the Northern Wind,110,Einar,Human,2,Squad,3,Ninja,Disciplined,Medium,4,1,6,1,4,3,"Disappearing Ninja: If a Ninja of the Northern Wind is attacked with a normal attack and at least 1 skull is rolled, roll the 20‑sided die to disappear. If you roll 1 to 11, roll defensive dice normally. If you roll a 12 or higher, that Ninja of the Northern Wind takes not damage and instead may move up to spaces. Ninjas of the Northern Wind can disappear only if they end their disappearing move not adjacent to any enemy figures. ",Ghost Walk: Ninjas of the Northern Wind can move through all figures. ,Disengage: Ninjas of the Northern Wind are never attacked when leaving an engagement.
Obsidian Guards,100,Utgar,Moltarn,0,Squad,3,Guard,Ferocious,Medium,5,1,4,1,4,4,LAVA RESISTANT - Obsidian Guards never roll for molten lava damage or lava field damage and they do not have to stop on molten lava spaces  ,LAVA THROW - When an Obsidian Guard is on a molten lava space it may add 2 to its range.  ,WATER WEAKNESS - An Obsidian Guard on a water space rolls 2 fewer defense dice.
Ogre Pulverizer,100,Utgar,Ogre,1,Hero,1,Pulverizer,Wild,Large,6,6,5,1,4,3,"Double Attack: When this Ogre Pulverizer attacks, he may attack one additional time.","Lumbering Bully: When attacking with this Ogre Pulverizer, all excess shields rolled by the defending figure count as unblockable hits inflicted by the defending figure on this Ogre Pulverizer.",
Ogre Warhulk,150,Utgar,Ogre,1,Hero,1,Warhulk,Wild,Large,7,8,5,1,5,3,"Flail Hurricane: After moving and before attacking with this Ogre Warhulk, you must roll the 20-sided die. If you roll a 1-10, it may attack normally. If you roll an 11 or higher, instead of attacking normally, it must attack each figure adjacent to it, if possible. Roll each attack separately.","Mine!: When you roll the 20-sided die for a Treasure Glyph trap with this Ogre Warlhulk, you must subtract 4 from your roll.",
Omnicron Repulsors,40,Jandar,Soulborg,0,Squad,3,Repulsors,Precise,Small,3,1,5,7,1,3,"Circuitry Overload: After moving and before attacking, you must roll the 20-sided die once for each Soulborg figure adjacent to any Omnicron Repulsors you control. If the figure is a Squad figure and you roll a 13 or higher, destroy that figure. If the figure is a Hero figure and you roll a 16 or higher, that figure receives a wound. Omnicron Repulsors are not effected by Circuitry Overload.","Targeting Beacon: When attacking a non-adjacent figure, all Soulborg figures you control who follow Jandar add 1 die to their attack if at least one Omnicron Repulsor you control is adjacent to the defending figure.","EMP Response: If an Omnicron Repulsor you control successfully defends against an attack by a Soulborg figure, you must roll the 20-sided die. If you roll a 14 or higher, the attacking figure must immediately end its turn and all order markers must be removed from its Army Card (or cards if your opponent has more than one Common Army Card for the figure)."
Omnicron Snipers,100,Jandar,Soulborg,0,Squad,3,Sniper,Precise,Medium,5,1,5,7,1,3,"DEADLY SHOT - When attacking with Omicron Snipers, all skulls rolled count for one additional hit.",,
Ornak,100,Utgar,Orc,2,Hero,1,Champion,Wild,Medium,5,4,6,1,3,3,"Red Flag of Fury Arua: If order marker 1 is placed on Ornak, then instead of taking that turn with Ornak, you may take a turn with up to 2 Unique Heroes you control who follow Utgar. Ornak cannot be one of the 2 Unique Heroes. Any Unique Hero that is taking a turn instead of Ornak must be within 8 clear sight spaces of Ornak prior to its movement.  ","Orc Battle Cry Aura: When attacking with any Orc Warrior figures you control within 2 clear sight spaces of Ornak, you may roll Utgar Valkyri dice. Each Utgar symbol rolled counts for an additional skull.",
Othkurik the Black Dragon,140,Utgar,Dragon,2,Hero,1,Young,Tricky,Large,6,5,6,1,4,3,Acid Spray Special Attack: Range 4. Attack 4. Choose a figure to attack. You may also choose up to two other figures adjacent to the targeted figure to be affected by Acid Spray Special Attack. Roll attack once for all affected figures. Each figure rolls defense dice seperately.,"Lurking Ambush: If Othkurik starts his turn unengaged and on at least one shadow or swamp water space, for this turn add 1 to Othkurik's movement and add 3 to his attack value.","Flying: When counting spaces for Othkurik's movement, ignore elevations. Othkurik may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If Othkurik is engaged when he starts to fly, he will take any leaving engagement attacks."
Otonashi,10,Vydar,Human,2,Hero,1,Ninja,Tricky,Medium,4,1,6,1,2,3,"Tricky Speed 4: If Otonashi starts her turn adjacent to any figure you control who has a tricky personality, she may move 4 additional spaces.",Phantom Walk: Otonashi can move through all figures and is never attacked when leaving an engagement.,"Attack the Wild 2: When attacking a figure who has a wild personality, Otonashi rolls 2 additional attack dice."
Parmenio,90,Einar,Human,2,Hero,1,Warlord,Disciplined,Medium,5,5,5,1,3,3,"Disciplined Influence - At the start of the game, you may choose any unique Army Card you control. For this game the chosen card's personality is disciplined, regardless of what is listed on the card. ","Sacred Band Defy Death 15 - When an adjacent Sacred Band figure receives one or more wounds, roll the 20-sided die before removing that figure. If you roll a 15 or higher, ignore any wounds.",
Pelloth,100,Utgar,Drow,2,Hero,1,Arachnomancer,Devout,Medium,5,4,6,5,3,3,"Lolth's Wrath Special Attack: Range Special. Attack 3. Choose a Drow figure you control that is within 5 clear sight spaces of Pelloth and roll 3 attack dice. One at a time for each skull rolled, you may inflict 1 wound on any small or medium figure that is within 2 clear sight spaces of the chosen Drow figure. You may inflict more than 1 wound on a single figure using Lolth's Wrath Special Attack. Figures affected by ","Lolth's Wrath Special Attack cannot roll any defense dice. After attacking with Lolth's Wrath Special Attack, destroy the chosen Drow figure.","Lurk In The Shadows: If Pelloth is on a shadow space, opponent's figures must be adjacent to attack him with a normal attack."
Phantom Knights,70,Utgar,Undead,0,Squad,3,Knights,Tormented,Medium,5,1,6,1,3,4,Insubstantial 3: A Phantom Knight adds 3 additional defense dice when rolling defense against a normal attack from a figure who is not adjacent.,"Stealth Flying: When counting spaces for a Phantom Knight's movement, ignore elevations. A Phantom Knight may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If a Phantom Knight is engaged when it starts to fly, it will not take any leaving engagement attacks.",
Protectors of Ullar,110,Ullar,Kyrie,0,Squad,3,Protectors,Confident,Medium,6,1,4,5,3,3,"Combined Arbalest: When attacking with a Protector of Ullar, roll 1 additional attack die for every wound that has been inflicted on the defending figure this turn by Protectors of Ullar you control.","Flying: When counting spaces for a Protector of Ullar's movement, ignore elevations. A Protector of Ullar may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When a Protector of Ullar starts to fly, if he is engaged he will take any leaving engagement attacks.",
Quasatch Hunters,100,Aquilla,Quasatch,0,Squad,3,Hunter,Ferocious,Medium,5,1,5,1,3,4,"Feral Rage: When a Quasatch Hunter attacks, it may attack up to 2 additional times. A Quasatch Hunter cannot attack the same figure more than once per turn.","Techno Hatred: When attacking a Soulborg figure, Quasatch Hunters receive 1 additional attack die.","Jungle Tracking: If a Quasatch Hunter begins its turn adjacent to an Evergreen Tree or Jungle Piece, it may move 2 additional spaces."
Raelin the Kyrie Warrior,80,Jandar,Kyrie,2,Hero,1,Warrior,Merciful,Medium,5,5,6,1,3,3,DEFENSE AURA - All figures you control within 4 clear sight spaces of Raelin add 2 to their defense dice.  Raelin's Defensive Aura does not affect Raelin.  ,"FLYING - When counting spaces for Raelin's movement, ignore elevations.  Raelin may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.  When Raelin starts to fly, if she is engaged she will take any leaving engagement attacks.",
Raelin the Kyrie Warrior,120,Jandar,Kyrie,2,Hero,1,Warrior,Resolute,Medium,5,5,6,1,3,3,Whirlwind Assault: Raelin may attack any or all figures adjacent to her. Roll each attack separately.,Extended Defensive Aura: All figures you control within 6 clear sight spaces of Raelin add 1 to their defense dice. Raelin's Extended Defensive Aura does not affect Raelin.,"Flying: When counting spaces for Raelin's movement, ignore elevations. Raelin may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Raelin starts to fly, if she is engaged she will take any leaving engagement attacks."
Rechets of Bogdan,50,Utgar,Undead,2,Squad,3,Devourer,Terrifying,Medium,4,1,6,1,3,3,Iskra's Summoning: Rechets of Bogdan do not start the game on the battlefield. They must be summoned onto the battlefield by Iskra Esenwein.,"Lethal Sting: When rolling attack dice against a small or medium figure, if a Rechet of Bogdan rolls a skull on every die , the defending figure cannot roll any defense dice and is immediately destroyed.","Flying: When counting spaces for Rechets of Bogdan's movement, ignore elevations. Rechets of Bogdan may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When a Rechet of Bogdan starts to fly, if he is engaged he will take any leaving engagement attacks."
Red Wymling,30,Einar,Dragon,0,Hero,1,Wyrmling,Disciplined,Small,3,1,5,1,3,3,Fledgling Fires Special Attack: Range 5. Attack 3. Common Squad figures roll 2 fewer defense dice against Fledgling Fires Special Attack.,"Wyrmling Bonding: After revealing an order marker on a Red Wyrmling Army Card, before taking that Red Wyrmling's turn, you may take a turn with one other Wyrmling you control.","Flying: When counting spaces for a Red Wyrmling's movement, ignore elevations. A Red Wyrmling may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If a Red Wyrmling is engaged when it starts to fly, it will take any leaving engagement attacks. "
Retiarius,90,Einar,Human,2,Hero,1,Gladiator,Rebellious,Medium,5,4,5,1,5,3,"Net Trip 14: After moving and before attacking, roll the 20‑sided die. If you roll a 14 or higher, any small or medium figure attacked by Retarius this turn may roll no more than 1 die for defense.",,
Rhogar Dragonspine,110,Aquilla,Dragonborn,2,Hero,1,Paladin,Ferocious,Medium,5,6,5,1,4,4,Dragon Breath Special Attack: Range Special. Attack 3. Choose 3 spaces in a straight line from Rhogar Dragonspine. All figures on those spaces that are in line of sight are affected by Dragon Breath Special Attack. Roll attack dice one for all affected figures. Each figure rolls defense dice separately.,"Lay on Hands: After moving and before attacking with Rhogar Dragonspine, you may choose a wounded friendly Hero figure adjacent to Rhogar Dragonspine and roll the 20-sided die. If you roll a 6 or higher, remove 1 wound marker from the chosen figure's Army Card.",
Roman Archers,55,Einar,Human,0,Squad,3,Archer,Disciplined,Medium,5,1,4,6,2,1,"ARROW VOLLEY - Special Attack - Range 6, Attack 5.  Three unengaged Roman Archers on the same level may combine their attacks and roll their attack dice as one attack.  All Roman Archers in the arrow volley must have a clear line of sight on the one target.",,
Roman Legionnaires,50,Einar,Human,0,Squad,4,Soldier,Disciplined,Medium,5,1,4,1,3,2,"WARLORD BONDING - Before taking a turn with Roman Legionnaires, you may first take a turn with any Warlord you control.  ","SHIELD WALL - When defending with a Roman Legionnaire, add 1 defense die for each other adjacent Roman Legionnaire up to a maximum of +2 dice, for the Shield Wall power.",
Runa,120,Utgar,Kyrie,2,Hero,1,Warrior,Tricky,Medium,5,5,6,1,3,3,"Helm of Mitonsoul Aura - After moving and before attacking, Runa may use her Helm of Mitonsoul Aura. When using the Helm of Mitonsoul Aura, you must roll the 20-sided die for all figures within 3 clear sight spaces of Runa, one at a time. If you roll a 20, destroy the figure. Runa's Helm of Mitonsoul Aura does not affect Runa.","Flying - When counting spaces for Runa's movement, ignore elevations. Runa may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Runa starts to fly, if she is engaged she will take any leaving engagement attacks. ",
Sacred Band,50,Einar,Human,0,Squad,4,Soldier,Disciplined,Medium,5,1,4,1,3,2,"Einar Warlord Bonding - Before taking a turn with Sacred Band, you may first take a turn with any Warlord you control who follows Einar.","Disciplined Army Defense Bonus - If every Army Card you control has a disciplined personality, each soldier in the Sacred Band receives 1 additional defense die",
Sahuagin Raider,25,Utgar,Saguagin,0,Hero,1,Raider,Ferocious,Medium,4,1,6,1,2,3,"Blood Frenzy: When attacking with a Sahuagin Raider, it receives 1 extra attack die for each wound marker on the defending figure's Army Card, to a maximum of 3 additional attack dice for Blood Frenzy.","Amphibious: While a Sahuagin Raider is on a water space, add 2 to its Defense. If a Sahuagin Raider starts its turn on a water space, add 1 to its movement for that turn. A Sahuagin Raider does not have to stop its movement when entering a water space.",
Samuel Brown,60,Jandar,Human,2,Hero,1,Patriot,Valiant,Medium,5,4,5,7,3,3,"FIRE AND RUSH SPECIAL ATTACK Range Special. Attack Special - If Samuel Brown begins his turn unengaged, instead of moving and attacking normally, he may use his Fire and Rush Special Attack. Choose a figure within 5 spaces of Samuel Brown to attack and roll 3 attack dice. If the defending figure receives one or more wounds from that attack, you may move Samuel Brown up to 5 spaces. If Samuel Brown ends that move engaged, he may attack again by rolling 4 attack dice.",,
Saylind the Kyrie Warrior,80,Ullar,Kyrie,2,Hero,1,Warrior,Valiant,Medium,5,5,6,1,3,3,"SPEAR OF SUMMONING - After moving and before attacking, choose any figure you control on the battlefield, then roll the 20-sided die.  If you roll a 1-8, nothing happens.  If you roll a 9-20, move the chosen figure to any space adjacent to Saylind.  If the summoned figure is engaged, the figure does not receive any leaving engagement attacks.  ","FLYING - When counting spaces for Saylind's movement ignore elevations.  Saylind may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.  When Saylind starts to fly, if she is engaged, she will take any leaving engagement attacks",
Sentinels of Jandar,110,Jandar,Kyrie,0,Squad,3,Sentinel,Valiant,Medium,6,1,4,1,3,4,"SHIELDS OF VALOR - When defending with Sentinels of Jandar, each shield rolled counts for one additional block.  ","FLYING - When counting spaces for Sentinels of Jandar's movement ignore elevations.  Sentinels of Jandar may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.  When a Sentinel of Jandar starts to fly, if he is engaged, he will take any leaving engagement attacks",
Sgt. Drake Alexander,170,Jandar,Human,2,Hero,1,Soldier,Valiant,Medium,5,6,6,1,6,4,Thorian Speed: Opponents' figures must be adjacent to Sgt. Drake Alexander to attack him with a normal attack.,"Grapple Gun 25: Instead of his normal move, Sgt. Drake Alexander may use his Grapple Arm. Grapple Arm has a move of 4. When counting spaces for Grapple Arm ignore elevations. Drake may grapple over water without stopping, over figures without becoming engaged, and over obstacles such as ruins. Drake may not grapple more than 45 levels up or down in a single Grapple Arm move. If Drake is engaged when he starts his Grapple Arm move, he will take any leaving engagement attacks.",Pistol Fire Special Attack: Range 5. Attack 3. Drake may not use Pistol Fire Special Attack to attack a figure who follows Jandar.
Sgt. Drake Alexander,110,Jandar,Human,2,Hero,1,Soldier,Valiant,Medium,5,5,5,1,6,3,THORIAN SPEED - Opponents' figures must be adjacent to Sgt. Drake Alexander to attack him with a normal attack. ,"GRAPPLE GUN 25 - Instead of Sgt. Drake Alexander's normal move, he may move only one space.  This space may be up to 25 levels higher.  When using the Grapple Gun, all engagement rules still apply.",
Shades of Bleakwoode,100,Utgar,Undead,0,Squad,3,Devourer,Terrifying,Medium,5,1,7,1,2,4,"Soul Devour - Before moving, each Shade of Bleakwoode you control may choose an adjacent unique hero. Roll the 20-sided die once for each Shade. If you roll 19 or 20, destroy the Shade of Bleakwoode figure, then take control of the chosen unique hero and remove any Order Marker on its card. You now control that Army Card.","Stealth Flying - When counting spaces for Shades of Bleakwoode's movement, ignore elevations. Shades of Bleakwoode may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When a Shade of Bleakwoode starts to fly, if it is engaged it will not take any leaving engagement attacks. ",
Shaolin Monks,80,Ullar,Human,0,Squad,3,Monk,Disciplined,Medium,5,1,6,1,3,3,SHAOLIN ASSAULT - A Shaolin Monk may attack any or all figures adjacent to him.  Roll each attack separately.  ,"STEALTH LEAP - Instead of their normal move, any or all Shaolin Monks may Stealth Leap.  Stealth Leap has a move of 3.  When counting spaces for a Monk's leaping movement, ignore elevations.  A Monk may leap over water without stopping, pass over figures without becoming engaged, and leap over obstacles such as ruins.  A Monk may not leap more than 12 levels up or down in a single leap.  If a monk is engaged when he starts to leap, he does not take any leaving engagement attacks.",
Sharwin Wildborn,110,Ullar,Eldarin,2,Hero,1,Battle Mage,Tricky,Medium,5,5,6,1,2,3,"Arcane Bolt Special Attack: Range 5 + Special. Attack 3. The first target of Arcane Bolt Special Attack must be within a Range of 5. After attacking with Arcane Bolt Special Attack, if the defending figure receives at least 1 wound, you may choose a figure that was adjacent to the defending figure at the beginning of that attack and attack that chosen figure with Arcan Bolt Special Attack. You may continue attacking with Arcane Bolt Special Attack in this manner until you fail to inflict a wound. A figure cannot be attacked more than once in a turn with Arcane Bolt Special Attack.","Arcane Riposte: When Sharwin Wildborn rolls defense dice against a normal attack, all excess shields count as unblockable hits on the attacking figure.","Shocking Grasp: When rolling attack dice for a normal attack, Sharwin Wildborn always adds 1 automatic skull to whatever is rolled."
Shiori,60,Einar,Human,2,Hero,1,Ninja,Tricky,Medium,4,3,6,1,3,3,"Concentrated Will: If Shiroi has only one unrevealed order marker on her Army Card, add 1 to her attack and defense.",Phantom Walk: Shiroi can move through all figures and is never attacked when leaving an engagement.,"Shuriken Special Attack: Range 5. Attack Special. If Shiori is attacking a small or medium figure, roll 3 attack dice for Shuriken Special Attack. If Shiori is attacking a figure of a different size, roll 2 attack dice for Shuriken Special Attack."
Shurrak,160,Utgar,Giant,2,Hero,1,Warrior,Militaristic,Huge,8,6,6,1,5,4,Sweeping Sword Special Attack: Range 1. Attack 5. Choose a figure to attack. Any figures adjacent to both Shurrak and the chosen figure are also affected by Sweeping Sword Special Attack. Roll attack dice once for all affected figures. Each figure rolls defense dice separately.,"Knockback 14: When a small or medium figure rolls defense dice and is not destroyed by a normal or special attack by Shurrak, immediately roll the 20-sided die. If you roll a 14 or higher, you may Knockback the figure by placing it on any empty space within 3 clear sight spaces of Shurrak. The space must be on the same level as or lower than its current location. A figure moved by Knockback never takes any leaving engagement attacks. A non-flying figure moved lower by Knockback can receive any falling damage that may apply.","Lava Resistant: Shurrak never rolls for molten lava damage or lava field damage, and he does not have to stop on molten lava spaces. "
Siege,120,Vydar,Warforged,2,Hero,1,Jugernaut,Stoic,Medium,4,5,5,1,5,5,"Crag of Steel: When revealing a numbered order marker on Siege's Army Card, you may also reveal an ""X"" order marker that is on Siege's Army Card to activate Crag of Steel for the duration of the round. While Crag of Steel is active, add 3 to Siege's Defense value and subtract 2 from Siege's Attack and Move values. When Siege attacks while Crag of Steel is active, he may attack any or all figures adjacent to him. Roll each attack separately.",,
Sir Denrick,100,Jandar,Human,2,Hero,1,Champion,Valiant,Medium,5,5,5,1,4,4,A COWARD'S REWARD - Sir Denrick rolls one additional die against each figure leaving an engagement with him.  ,"GIANT KILLER - When Sir Denrick attacks huge figures, add 2 attack dice.",
Sir Dupois,150,Jandar,Human,2,Hero,1,Knight,Valiant,Large,6,6,8,1,4,3,Knight's Courage: Add 1 to Sir Dupuis' attack dice for every Knight you control within 4 clear sight spaces of Sir Dupuis up to a maximum of +3 dice.,"Tactical Disengagement 7: When Sir Dupuis receives one or more wounds from a leaving disengagement attack, immediately roll the 20-sided die. If you roll a 7 or higher, ignore any wounds from that leaving engagement attack.","Chalice of Fortitude: If Sir Dupuis has 4 or more wounds on his Army Card, add 1 to his defense dice."
Sir Gilbert,105,Jandar,Human,2,Hero,1,Champion,Valiant,Medium,5,6,5,1,3,4,"Jandar's Dispatch: After you take a turn with Sir Gilbert, you may roll 12 Jandar Valkyrie dice. Move up to 4 squad figures you control who follow Jandar up to X spaces. X equals the number of Jandar symbols rolled. Any squad figures moved with Jandar's Dispatch must be within 8 clear sight spaces of Sir Gilbert prior to moving. ",Attack Aura 1: All friendly figures adjacent to Sir Gilbert with a range of 1 add 1 one die to their normal attack.,
Sir Hawthorne,90,Utgar,Human,2,Hero,1,Champion,Relentless,Medium,5,6,5,1,5,6,"Blind Rage Special Attack: Range 1. Attack 3. If Sir Hawthorne rolls at least 2 skulls with his Blind Rage Special Attack, Sir Hawthorne may attack again with his Blind Rage Special Attack. Sir Hawthorne may continue attacking with his Blind Rage Special Attack until he rolls fewer than 2 skulls.  ","Stab In the Back: After you take a turn with Sir Hawthorne, you must roll the 20‑sided die. If you roll a 1, choose an opponent. That opponent now controls Sir Hawthorne. Remove any order markers on this Army Card, then give the card to that opponent.",
Sonlen,160,Ullar,Elf,2,Hero,1,Archmage,Tricky,Medium,5,6,5,6,4,3,"Dragon Healing: Before moving, you may choose a wounded Hero figure within 4 clear sight spaces of Solen. Roll the 20-sided die. If you roll a 15 or higher, remove one wound marker from the chosen Hero's Army Card. Sonlen's Dragon can use its Dragon Healing on Sonlen.","Dragon Swoop: After moving and before attacking, you may choose any figure within 4 clear sight spaces of Sonlen. Roll the 20-sided die. If you roll a 15 or higher, the chosen figure recieves one wound.",
